index,product_category_name_english,review_score
10339,health_beauty,5
39692,health_beauty,5
39693,health_beauty,5
109735,health_beauty,5
74091,health_beauty,5
74092,health_beauty,5
70719,health_beauty,1
70720,health_beauty,1
2207,health_beauty,5
114948,health_beauty,5
32585,diapers_and_hygiene,4
29923,health_beauty,5
87841,health_beauty,5
57501,health_beauty,5
90079,health_beauty,5
93245,health_beauty,5
61740,health_beauty,5
31229,health_beauty,5
81235,health_beauty,1
102761,health_beauty,3
73870,health_beauty,3
33387,health_beauty,5
23223,health_beauty,5
23224,health_beauty,5
23693,health_beauty,5
86776,health_beauty,5
99074,health_beauty,1
100710,health_beauty,4
99141,health_beauty,5
88676,health_beauty,5
42251,health_beauty,5
18383,health_beauty,5
17273,health_beauty,5
17274,health_beauty,5
4663,health_beauty,5
90517,health_beauty,5
101253,health_beauty,5
7239,health_beauty,3
14894,health_beauty,4
10719,health_beauty,4
12543,health_beauty,5
99514,health_beauty,5
27774,health_beauty,1
65153,health_beauty,5
33507,health_beauty,5
98053,health_beauty,5
5560,health_beauty,4
2927,health_beauty,5
66788,health_beauty,5
80918,health_beauty,5
74168,health_beauty,5
32313,health_beauty,1
37275,health_beauty,5
37428,health_beauty,4
54790,health_beauty,5
61253,health_beauty,4
59218,health_beauty,5
93269,health_beauty,5
90895,health_beauty,1
51977,health_beauty,1
57321,health_beauty,3
42395,health_beauty,1
42396,health_beauty,1
97351,health_beauty,5
42556,health_beauty,5
38571,health_beauty,5
107646,health_beauty,4
33011,health_beauty,3
62352,health_beauty,5
111138,health_beauty,5
67694,health_beauty,3
30108,health_beauty,5
8824,health_beauty,5
19088,health_beauty,5
19089,health_beauty,5
19090,health_beauty,5
71254,health_beauty,5
26268,health_beauty,4
68814,health_beauty,3
100138,health_beauty,4
91908,health_beauty,5
23820,health_beauty,1
35121,health_beauty,4
9409,health_beauty,1
28348,health_beauty,4
52276,health_beauty,5
114047,health_beauty,5
82030,health_beauty,1
45772,health_beauty,5
65384,health_beauty,4
13417,health_beauty,5
13418,health_beauty,5
13419,health_beauty,5
27280,health_beauty,1
71578,health_beauty,5
112175,health_beauty,4
98584,health_beauty,5
84356,health_beauty,5
84357,health_beauty,5
27490,health_beauty,1
270,health_beauty,1
271,health_beauty,1
2833,health_beauty,5
49394,health_beauty,5
23566,health_beauty,2
110356,health_beauty,4
70506,health_beauty,5
57874,health_beauty,4
22247,health_beauty,3
1013,health_beauty,5
99896,health_beauty,3
953,health_beauty,5
102742,health_beauty,5
6216,health_beauty,5
40412,health_beauty,5
105992,health_beauty,4
56985,health_beauty,5
25559,health_beauty,4
96892,health_beauty,5
99248,diapers_and_hygiene,5
102622,health_beauty,1
102623,health_beauty,1
102624,health_beauty,1
102625,health_beauty,1
102626,health_beauty,1
102627,health_beauty,1
102628,health_beauty,1
102629,health_beauty,1
102630,health_beauty,1
102631,health_beauty,1
3664,health_beauty,4
36468,health_beauty,5
12931,health_beauty,5
12932,health_beauty,5
9898,health_beauty,5
17538,health_beauty,5
110011,health_beauty,5
4905,health_beauty,5
88513,health_beauty,1
27889,health_beauty,5
98686,health_beauty,1
62139,health_beauty,5
6642,health_beauty,5
22855,health_beauty,5
82753,health_beauty,1
32952,health_beauty,5
80962,health_beauty,4
27419,health_beauty,5
90714,health_beauty,1
41441,health_beauty,5
52990,health_beauty,5
59568,health_beauty,4
4226,health_beauty,5
53422,health_beauty,5
25072,health_beauty,5
83922,health_beauty,5
46434,health_beauty,5
12708,health_beauty,5
9473,health_beauty,4
9150,health_beauty,3
101498,health_beauty,5
3031,health_beauty,5
34789,health_beauty,5
34790,health_beauty,5
109517,health_beauty,5
92074,health_beauty,4
53872,health_beauty,5
588,health_beauty,4
37482,health_beauty,5
46452,health_beauty,5
78935,health_beauty,5
90685,health_beauty,1
21513,health_beauty,5
19175,health_beauty,4
92952,health_beauty,4
111032,health_beauty,5
113197,health_beauty,4
19015,health_beauty,5
96596,health_beauty,5
48688,health_beauty,1
17662,health_beauty,4
50512,health_beauty,5
110668,health_beauty,5
96076,health_beauty,2
27297,health_beauty,5
8884,health_beauty,4
24704,health_beauty,3
57714,health_beauty,5
72999,health_beauty,5
2042,health_beauty,5
53797,health_beauty,5
75967,health_beauty,5
18469,health_beauty,4
88078,health_beauty,5
11895,health_beauty,5
36540,health_beauty,3
36541,health_beauty,3
18565,health_beauty,5
1073,health_beauty,5
31440,health_beauty,4
7155,health_beauty,3
106836,health_beauty,1
17632,health_beauty,4
42187,health_beauty,5
99375,health_beauty,3
14968,health_beauty,5
32438,health_beauty,5
25562,health_beauty,5
89563,health_beauty,5
20475,health_beauty,5
113300,health_beauty,5
3380,health_beauty,3
19798,health_beauty,4
1895,health_beauty,5
32608,health_beauty,5
101731,health_beauty,1
47689,health_beauty,1
84629,health_beauty,5
1894,health_beauty,3
325,health_beauty,5
99949,health_beauty,5
36480,health_beauty,5
33396,health_beauty,5
112998,health_beauty,5
70515,health_beauty,4
84159,health_beauty,1
82039,health_beauty,5
90242,health_beauty,5
67685,health_beauty,5
8813,health_beauty,5
32072,health_beauty,5
39625,health_beauty,5
5003,health_beauty,5
50301,health_beauty,5
73545,health_beauty,4
13289,health_beauty,5
13391,health_beauty,5
13392,health_beauty,5
102228,health_beauty,4
71445,health_beauty,3
95744,health_beauty,5
35453,health_beauty,5
19028,health_beauty,1
77702,health_beauty,3
9927,health_beauty,3
105843,health_beauty,3
101391,health_beauty,5
101392,health_beauty,5
45386,health_beauty,5
35197,health_beauty,4
23062,health_beauty,4
77265,health_beauty,1
341,health_beauty,3
4983,health_beauty,1
87583,health_beauty,5
55675,health_beauty,5
63936,health_beauty,2
70085,health_beauty,3
33720,health_beauty,5
89888,health_beauty,5
106785,health_beauty,5
104723,health_beauty,3
96928,health_beauty,4
57804,health_beauty,3
56544,health_beauty,5
112546,health_beauty,5
94108,health_beauty,4
89917,health_beauty,5
14609,health_beauty,5
12755,health_beauty,5
7446,health_beauty,5
53075,health_beauty,5
28802,health_beauty,5
14137,health_beauty,5
14138,health_beauty,5
37618,health_beauty,4
6353,health_beauty,4
15600,health_beauty,3
73393,health_beauty,5
107494,health_beauty,5
63764,health_beauty,3
114688,health_beauty,5
61446,health_beauty,5
106361,health_beauty,5
6840,health_beauty,1
32450,health_beauty,5
48964,health_beauty,4
94454,health_beauty,4
86916,health_beauty,5
104653,health_beauty,5
104654,health_beauty,5
89492,health_beauty,2
39919,health_beauty,1
107561,health_beauty,1
107562,health_beauty,1
107563,health_beauty,1
46235,health_beauty,5
4844,health_beauty,4
58259,health_beauty,5
38020,health_beauty,5
40968,health_beauty,5
106554,health_beauty,1
78455,health_beauty,5
67102,health_beauty,1
69639,health_beauty,5
52874,health_beauty,4
108501,health_beauty,4
96423,health_beauty,5
36430,health_beauty,5
16357,health_beauty,5
33957,health_beauty,5
33958,health_beauty,5
33959,health_beauty,5
33960,health_beauty,5
33961,health_beauty,5
33962,health_beauty,5
33963,health_beauty,5
33964,health_beauty,5
33965,health_beauty,5
33966,health_beauty,5
33967,health_beauty,5
33968,health_beauty,5
80342,health_beauty,5
97092,health_beauty,5
71751,health_beauty,5
33874,health_beauty,4
64916,health_beauty,4
85676,health_beauty,5
62380,health_beauty,5
57434,health_beauty,5
91156,health_beauty,5
37189,health_beauty,5
37190,health_beauty,5
19404,health_beauty,4
63562,health_beauty,5
9252,health_beauty,4
26154,health_beauty,4
26155,health_beauty,4
10590,health_beauty,5
110062,health_beauty,4
94045,health_beauty,5
97428,health_beauty,2
75401,health_beauty,5
23064,health_beauty,5
59709,health_beauty,1
53480,health_beauty,4
59447,health_beauty,1
91717,health_beauty,1
41960,health_beauty,5
76561,health_beauty,5
104755,health_beauty,4
68357,health_beauty,4
18078,health_beauty,5
55365,health_beauty,1
55366,health_beauty,1
53252,health_beauty,1
89151,health_beauty,5
108909,health_beauty,4
11946,health_beauty,5
106476,health_beauty,5
19110,health_beauty,4
74722,health_beauty,5
46476,health_beauty,5
14055,health_beauty,5
57744,health_beauty,4
112936,health_beauty,5
37584,health_beauty,5
37585,health_beauty,5
63756,health_beauty,5
71273,health_beauty,5
45751,health_beauty,1
26467,health_beauty,5
71276,health_beauty,5
67941,health_beauty,5
74171,health_beauty,4
45337,health_beauty,5
28341,health_beauty,5
98028,health_beauty,5
78300,health_beauty,3
7997,health_beauty,1
104467,health_beauty,5
1208,health_beauty,5
99578,health_beauty,5
99579,health_beauty,5
33572,health_beauty,5
21739,health_beauty,3
78759,health_beauty,5
70840,health_beauty,5
37791,health_beauty,3
37792,health_beauty,3
37793,health_beauty,3
37794,health_beauty,3
23275,health_beauty,4
23276,health_beauty,4
23277,health_beauty,4
23278,health_beauty,4
23279,health_beauty,4
78287,health_beauty,5
60892,health_beauty,5
67895,health_beauty,5
42200,health_beauty,5
77880,health_beauty,5
77881,health_beauty,5
49986,health_beauty,5
77131,health_beauty,5
77132,health_beauty,5
31404,health_beauty,1
31405,health_beauty,1
31406,health_beauty,1
29719,health_beauty,5
18182,health_beauty,5
109321,health_beauty,5
21479,health_beauty,5
19180,health_beauty,3
70114,health_beauty,5
23270,health_beauty,5
92296,health_beauty,5
92297,health_beauty,5
46313,health_beauty,5
71577,health_beauty,5
67181,health_beauty,5
10600,health_beauty,5
10601,health_beauty,5
102537,health_beauty,5
102538,health_beauty,5
48031,health_beauty,5
104987,health_beauty,5
3854,health_beauty,5
36765,health_beauty,5
53405,health_beauty,5
53406,health_beauty,5
